PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
66,F1287,4016515,CIHERANG,CIHERANG,IR 18349-53-1-3-1-3/2IR 19661-131-3-1-3//IR 5657-33-2-1/IR 2061-465-1-5-5,F3440,1,9,1,20130608,85,115,120,21,10.4,3082,,2405,3211,5,,7,3,3,1,7,05-Oct,
209,F1287,4016515,CIHERANG,CIHERANG,IR 18349-53-1-3-1-3/2IR 19661-131-3-1-3//IR 5657-33-2-1/IR 2061-465-1-5-5,F3440,2,4,11,20130608,86,116,116,18,10.7,2523,,3022,2620,,,,,,1,7,07-Oct,shb
48,F1288,4016516,CIHERANG-SUB1,IR09F436,CIHERANG2/IRRI 149,F3441,1,9,19,20130608,87,117,117,19,10.5,2299,6,3513,2393,,,7,7,3,1,7,10-Oct,
208,F1288,4016516,CIHERANG-SUB1,IR09F436,CIHERANG2/IRRI 149,F3441,2,4,10,20130608,87,117,113,18,10.8,2934,,1699,3043,,,,,,1,5,09-Oct,
427,A1289,967269,IR02A127,IR 75287-19-3-3-3,IR00A107/IR 62243-41-1-3-3,A3451,1,8,64,20130608,89,119,121,18,10.4,2623,,2252,2733,9,S,5,9,0,1,5,14-Oct,shb
258,A1001,967011,IR02A149,IR 75298-59-3-1-3,IR00A107/PSB RC 54 (IR 60819-34-2-1),A3201,1,3,7,20130608,89,119,120,19,11,2647,,3092,2739,5,,5,3,3,1,1,09-Oct,"bb, shb"
627,A1290,1129071,IR03A159,IR 76928-74-3-2-1,IR 66696-49-1-2/PSB RC 64 (IR 59552-21-3-2-2),A3203,1,2,66,20130608,91,121,129,14,10.2,2290,,,2391,5,,3,3,1,1,5,14-Oct,
6,A1002,1111689,IR03A262,IR 77032-47-2-3-3,IR 71606-1-2-1-3-2-3-1/PSB RC 64 (IR 59552-21-3-2-2),A3204,1,10,6,20130608,86,116,125,25,10.8,3017,,3017,3129,,,5,5,3,1,5,30-Sep,
407,A1291,1111627,IR03A290,IR 77140-24-2-1-2,IR 68068-99-1-3-3-3/JANAKI//PSB RC 18 (IR 51672-62-2-1-1-2-3),A3452,1,8,44,20130608,91,121,116,14,10,2844,,2950,2976,,,5,7,3,1,1,17-Oct,shb
336,A1292,1134623,IR03A550,IR 77700-84-2-2-2,IR 68427-15-2-3-1/IR 68068-99-1-3-3-3//IR 1529-ECIA,A3453,1,10,39,20130608,90,120,114,14,9.6,3224,,2164,3389,,,5,5,3,1,5,11-Oct," good, erect flags"
246,B1003,1111251,IR03N137,IR 77186-148-3-4-3,IR 73885-1-4-3-2-1-6 (MATATAG 9)/IR 70479-45-2-3//IR 64680-81-2-2-1-3,B3542,1,3,19,20130608,89,119,124,23,9.9,2650,3,2967,2776,,,5,3,1,1,5,09-Oct,
620,A1293,1201260,IR04A115,IR 77498-47-2-6-2-3,IR 68077-82-2-2-2-3/IR00A117,A3454,1,2,59,20130608,92,122,119,14,11.1,3112,2,3163,3217,3,,5,3,1,1,1,14-Oct,
282,A1004,1253581,IR04A285,IR 78119-24-1-2-2-2,IR00A117/IR 64,A3207,1,2,18,20130608,89,119,120,22,9.7,2820,,2770,2961,,,7,5,3,1,7,09-Oct,
503,A1294,1253961,IR04A428,IR 78585-64-2-4-3,IR 73718-1-2-1-3/PSB RC 10 (IR 50404-57-2-2-3),A3455,1,5,59,20130608,93,123,138,17,10.8,2760,,2491,2863,5,,3,1,3,1,5,17-Oct,
238,A1005,1385285,IR05A235,IR 79478-67-3-3-2,IR 73008-138-2-2-2/IR00A103,A3456,1,3,27,20130608,87,117,124,16,11.4,2550,4,3478,2627,5,S,5,3,3,1, 3/7,09-Oct,
172,A1006,1402065,IR05A260,IR 79637-2-3-2-1,IR 72875-94-3-3-2/IR 72903-121-2-1-2,A3457,1,5,27,20130608,85,115,115,17,9.5,2524,3,2630,2656,,,5,3,4,1,5,07-Oct,"shb, spreading"
637,B1295,1265273,IR05N170,IR 79218-69-2-2-2,IR 72889-69-2-2-2/IR 72158-68-6-3,B3543,1,1,57,20130608,93,123,136,15,9.1,2424,,,2562,,,3,1,1,1, 1/5,07-Oct,
612,B1296,1265283,IR05N173,IR 79218-93-1-4-3,IR 72889-69-2-2-2/IR 72158-68-6-3,B3544,1,2,51,20130608,96,126,123,17,9.8,2790,,,2926,,,3,7,1,1,1,17-Oct,
64,B1007,1265595,IR05N221,IR 79253-55-1-4-6,IR 74052-297-2-1/IR 71700-247-1-1-2,B3545,1,9,3,20130608,88,118,132,16,10.9,2474,1,2531,2563,9,,5,1,0,1,7,10-Oct,
165,B1008,1265633,IR05N229,IR 79254-65-1-3-2,IR 74052-297-2-1/IR 72165-63-2-3-3,B3321,1,6,33,20130608,86,116,113,17,9.6,2757,1,2848,2898,,,5,5,0,1,7,03-Oct,
650,B1297,1401842,IR05N304,IR 79495-9-3-2-2,IR 69808-78-2-2-3/IR 68552-100-1-2-2,B3546,1,1,44,20130608,95,125,137,18,10.3,2763,,,2882,,,5,5,3,1,5,20-Oct,
643,B1298,1401800,IR05N341,IR 79504-48-1-6-2,IR 73707-56-5-1-2/IR 73707-45-3-2-3,B3547,1,1,51,20130608,86,116,131,21,10,3235,,,3385,7,S,5,3,4,1,5,11-Oct,
423,B1299,1384968,IR05N359,IR 79515-25-1-6-1,IR 72158-11-5-2-3/IR 72903-121-2-1-2,B3548,1,8,60,20130608,94,124,142,19,10.4,1921,,2262,2001,9,S,3,1,1,1,3,17-Oct,
539,B1300,1402302,IR05N412,IR 79584-38-2-1-4,IR 72875-94-3-3-2/IR 73707-45-3-2-3,B3549,1,4,44,20130608,94,124,127,15,10,3128,2,2882,3273,,,3,1,1,1,3,14-Oct,
655,B1301,1401730,IR05N419,IR 79585-61-2-3-3,IR 72887-34-2-1-3/IR 73707-45-3-2-3,B3550,1,1,39,20130608,93,123,124,18,10.5,2650,,,2758,,,5,1,1,1,1,17-Oct,exposed grains
145,A1009,1960895,IR06A144,IR 80894-8-1-1-3,IR02A127/JANAKI,A3210,1,6,13,20130608,86,116,123,21,9.9,3034,,2517,3179,5,,3,3,3,1,1,07-Oct,
455,A1302,1960911,IR06A148,IR 80894-95-1-1-1,IR02A127/JANAKI,A3458,1,7,41,20130608,92,122,126,18,10,2640,,2553,2763,7,S,5,3,0,3,7,14-Oct,shb
352,A1303,1960929,IR06A150,IR 80897-84-2-2-1,IR02A127/IR 64,A3459,1,10,55,20130608,92,122,126,21,12,2449,,3382,2506,7,S,5,5,0,1,7,14-Oct,
584,A1304,1960996,IR06A155,IR 81168-31-2-3-2,IR 69726-116-1-3 (MATATAG 1)/PSBRC 82//JANAKI,A3211,1,3,44,20130608,99,129,124,12,10.7,2382,9,2567,2473,,,5,3,4,1,5,17-Oct,
607,A1305,2021017,IR06A181,IR 80905-50-1-3-2,IR 71718-59-1-2-3/IR 72,A3213,1,2,46,20130608,90,120,113,22,10.9,2876,,,2980,7,S,5,3,0,7,7,11-Oct,ShB
597,M1306,1837987,IR06M134,IR 80475-B-B-19-2,IR 71684-36-3-3-2/CAVITENIA,M3672,1,2,36,20130608,88,118,118,13,10.4,2818,,,2936,7,,5,3,0,1, 1/5,14-Oct,
568,M1307,1838123,IR06M138,IR 80482-24-2-2-1,MEM BERANO/PADI ABANG GOGO,M3673,1,3,60,20130608,96,126,131,16,11.4,2107,2,3330,2171,7,S,5,3,0,1,7,07-Oct,
200,M1010,1838118,IR06M139,IR 80482-32-2-3-3,MEM BERANO/PADI ABANG GOGO,M3674,1,4,2,20130608,87,117,123,16,11,2487,,2585,2574,9,S,3,5,0,1,7,09-Oct,
108,M1011,1838100,IR06M143,IR 80482-64-3-3-3,MEM BERANO/PADI ABANG GOGO,M3675,1,7,25,20130608,86,116,116,12,9.6,2614,,2789,2748,7,,3,7,0,1,7,03-Oct,
95,M1012,1838097,IR06M144,IR 80482-66-3-3-3,MEM BERANO/PADI ABANG GOGO,M3676,1,8,29,20130608,87,117,121,12,11.3,2677,,2216,2761,7,S,3,7,0,1,5,09-Oct,shb
469,M1308,1838086,IR06M147,IR 80482-73-1-3-2,MEM BERANO/PADI ABANG GOGO,M3677,1,6,40,20130608,90,120,113,12,10.1,2821,,2495,2949,,,3,3,3,1,05-Mar,09-Oct,ShB
519,M1309,1838072,IR06M150,IR 80482-93-2-3-1,MEM BERANO/PADI ABANG GOGO,M3678,1,5,43,20130608,92,122,122,14,10.1,1254,,2106,1311,3,S,3,1,2,1,1,17-Oct,
39,B1013,1845909,IR06N119,IR 80376-12-2-3-3,IR 73707-45-3-2-3/IR 68552-100-1-2-2,B3322,1,9,28,20130608,84,114,112,22,10,2417,,2827,2529,7,,3,5,4,1,5,09-Oct,shb
536,B1545,1845880,IR06N127,IR 80376-62-1-3-2,IR 73707-45-3-2-3/IR 68552-100-1-2-2,B3551,1,4,41,20130608,90,120,121,19,10.3,2515,,2891,2623,7,S,5,7,5,1,05-Mar,14-Oct,shb
550,B1545,1845880,IR06N127,IR 80376-62-1-3-2,IR 73707-45-3-2-3/IR 68552-100-1-2-2,B3551,2,4,55,20130608,90,120,123,16,11.6,2338,,2905,2403,7,S,,,,1,5,14-Oct,
134,B1014,1855764,IR06N141,IR 80397-87-1-2-3,IR 72158-16-3-3-1/IR00A107,B3323,1,6,2,20130608,84,114,114,16,9.9,2815,,2181,2949,,,5,5,1,1,7,09-Oct,"ShB, nb"
532,B1310,1845549,IR06N146,IR 80402-88-3-1-3,IR01N200/IR 1529-ECIA,B3552,1,4,37,20130608,94,124,122,16,10.5,2663,,1680,2771,,,5,5,0,7,5,14-Oct,"Bb,shb, not so good"
658,B1311,1855724,IR06N155,IR 80655-33-3-2-1,IR 72158-11-5-2-3/IR 73707-45-3-2-3//IR 72875-94-3-3-2,B3553,1,1,36,20130608,89,119,137,16,10.7,2569,,,2668,5,S,3,3,1,7,5,14-Oct,bb
328,B1015,1856058,IR06N170,IR 80670-69-2-1-3,IR 68059-66-2-3-3-3/IR 68544-29-2-1-3-1-2//PSBRC 82,B3555,1,1,3,20130608,89,119,125,16,9.4,2762,1,2696,2910,,,5,9,3,1,3,09-Oct,medium grain
15,B1016,1855997,IR06N183,IR 80692-64-3-2-1,IR 73006-12-3-3-2/IR 68552-100-1-2-2//IR 68450-36-3-2-2-3,B3556,1,10,15,20130608,88,118,114,20,10.8,2112,7,2381,2191,,,5,9,1,1,3,09-Oct,shb
302,B1017,1845120,IR06N209,IR 80860-53-1-3,IR 71700-247-1-1-2/PSB RC 10 (IR 50404-57-2-2-3),B3557,1,1,29,20130608,77,107,112,21,9.2,3109,,1319,3283,,,5,3,2,1,1,30-Sep,not so uniform
89,B1018,2020800,IR06N233,IR 81178-25-2-2-3,IR 72158-16-3-3/IR01A154//PSB RC 64 (IR 59552-21-3-2-2),B3559,1,8,23,20130608,90,120,119,16,10.3,2414,,2177,2518,,,5,7,3,1,5,09-Oct,
574,B1312,2020798,IR06N234,IR 81178-29-2-3-2,IR 72158-16-3-3/IR01A154//PSB RC 64 (IR 59552-21-3-2-2),B3560,1,3,54,20130608,94,124,113,16,9.7,2335,,1518,2452,,,5,7,1,1,1,17-Oct,
247,A1019,2039493,IR07A107,IR 81330-29-3-1-2,IR 64/IR 69502-6-SRN 3-UBN 1-B,A3214,1,3,18,20130608,86,116,115,17,9.5,2739,,2649,2882,,,5,9,3,1,5,09-Oct,", very good PA"
37,A1020,2143874,IR07A137,IR 81373-119-2-2-1,IRRI 123/IR 77080-B-34-1-1,A3460,1,9,30,20130608,92,122,121,17,10.1,3014,,2417,3151,,,3,9,4,1,7,07-Oct,
653,A1313,2220508,IR07A166,IR 81352-16-3-3-3-3,IR 73013-95-1-3-2/IR 72862-27-3-2-3,A3461,1,1,41,20130608,96,126,123,14,9,2689,,,2845,,,5,7,0,1,1,17-Oct,
291,A1021,2220401,IR07A183,IR 81363-86-2-3-2-2,IR 77080-B-34-1-1/IR 77776-B-8-1-2,A3216,1,2,27,20130608,85,115,123,20,11.2,3280,,2208,3387,,,5,9,1,1,7,09-Oct,
549,A1314,2222968,IR07A234,IR 82571-544-2-3,NSIC RC 138/IRRI 123,A3462,1,4,54,20130608,91,121,131,13,9.1,2780,,1734,2938,7,S,5,5,3,1,5,14-Oct,
164,A1022,2223072,IR07A250,IR 82574-573-2-1,PR 31070-4-1-2/IR 72102-4-159-1-3-3-3 (NSIC RC 112),A3217,1,6,32,20130608,83,113,122,16,10.7,2071,,3164,2150,5,,5,9,1,7,7,10-Oct,"BB,shb, erect"
270,A1023,2223059,IR07A253,IR 82574-643-1-2,PR 31070-4-1-2/IR 72102-4-159-1-3-3-3 (NSIC RC 112),A3218,1,2,6,20130608,84,114,111,16,11.4,2572,,2384,2650,9,,7,9,4,1,7,05-Oct,shb
229,A1024,2222917,IR07A257,IR 82575-578-2-3,PR 31090-33-2-1/IRRI 123,A3219,1,4,31,20130608,86,116,120,18,10.4,2780,,2065,2896,,,5,9,0,1,5,30-Sep,
219,A1025,2222906,IR07A260,IR 82575-626-3-2,PR 31090-33-2-1/IRRI 123,A3220,1,4,21,20130608,85,115,129,16,10.9,2682,,3075,2779,7,,5,7,2,7,7,17-Oct,"BB, shb"
214,M1026,2228542,IR07M101,IR 82467-19-3-2,IR 65192-4B-11-3/IR 64,M3679,1,4,16,20130608,101,131,125,18,9.8,2647,,2647,2776,,,7,7,1, 1/7,1,17-Oct,late 
321,B1027,2228660,IR07N197,IR 82274-140-2-1-1,IR01A135/C 2764-10-2 (PSB RC 14)//IR01N144,B3561,1,1,10,20130608,90,120,133,19,9.8,2689,,2603,2820,9,S,7,7,3,1, 1/5,14-Oct,shb
284,A1028,2337933,IR08A104,IR 82009-95-2-1-2-3,IR 72860-74-1-2-1/IR 72870-19-2-2-3,A3221,1,2,20,20130608,84,114,128,20,10.7,2734,1,3224,2839,,,5,5,7,1,7,04-Oct,
69,A1029,2337415,IR08A111,IR 82574-21-3-2-2,PR 31070-4-1-2/IR 72102-4-159-1-3-3-3 (NSIC RC 112),A3222,1,8,3,20130608,82,112,107,16,9.7,2070,,2296,2174,,,5,5,5,1,5,07-Oct,shb
211,A1030,2321219,IR08A128,IR 82571-544-2-3-1,NSIC RC 138/IRRI 123,A3463,1,4,13,20130608,90,120,127,15,9.7,2985,,2653,3134,5,,3,9,4,1,5,10-Oct,
304,A1031,2321163,IR08A138,IR 82575-631-3-1-3,PR 31090-33-2-1/IRRI 123,A3223,1,1,27,20130608,82,112,126,19,13,2980,,2548,3015,9,S,3,9,4,1,7,,
434,A1315,2348737,IR08A172,IR 82492-7-2-3-3,IR 73013-95-1-3-2/IRRI 123,A3464,1,7,62,20130608,90,120,133,16,9.7,2541,,1981,2668,9,S,5,5,3,1,5,17-Oct,
429,A1316,2348720,IR08A176,IR 82492-60-3-2-2,IR 73013-95-1-3-2/IRRI 123,A3465,1,8,66,20130608,91,121,149,14,10.3,2454,,1644,2560,7,S,5,3,3,1,1,17-Oct,shb
186,A1032,2348663,IR08A192,IR 82571-26-2-3-2,NSIC RC 138/IRRI 123,A3224,1,5,13,20130608,84,114,117,17,10.4,3018,,2703,3144,,,5,9,3, 1/7,7,07-Oct,"few off types, shb"
609,M1317,2338000,IR08M102,IR 81014-B-49-3-3-2-2,IR 74796-3B-34-1-1/IR 71684-36-3-3-2,M3680,1,2,48,20130608,87,117,117,15,11.2,1680,,,1735,3,,5,9,0,1,5,25-Oct,few off types
618,M1318,2337813,IR08M114,IR 82462-30-2-1-3,IR 61247-3B-8-2-1/IR 64,M3432,1,2,57,20130608,85,115,126,15,11,2882,,,2983,9,,5,9,0,1, 1/7,07-Oct,shb
576,M1319,2348792,IR08M119,IR 82463-3-3-2-2,IR 61247-3B-8-2-1/IRRI 123,M3681,1,3,52,20130608,91,121,132,18,10,2560,,,2679,,,5,7,1,1,5,17-Oct,
413,B1320,2338042,IR08N109,IR 82269-127-3-1-1-2,IR 73012-15-2-2-1/IR 73000-70-2-2-2//IR 72158-11-5-2-3,B3562,1,8,50,20130608,90,120,124,15,10.7,2433,,2275,2526,,,7,1,1,1,5,17-Oct,
115,B1033,2337886,IR08N121,IR 82438-25-3-1-2,ANSANBYEO/IR04N114,B3328,1,7,18,20130608,82,112,98,17,9.9,1928,2,2930,2020,,,7,9,0,1,7,01-Oct,
619,B1321,2337754,IR08N134,IR 82489-7-2-2-2,IR 72967-12-2-3/PR 31090-33-2-1,B3564,1,2,58,20130608,91,121,127,18,9.8,2725,2,2769,2858,7,S,5,1,1,1,1,14-Oct,
60,B1034,2337749,IR08N136,IR 82489-19-2-3-1,IR 72967-12-2-3/PR 31090-33-2-1,B3565,1,9,7,20130608,93,123,128,17,10.5,1340,,2208,1395,3,,5,7,1,1,5,10-Oct,SHB
233,B1035,2337355,IR08N150,IR 82785-63-3-3-2,IR 72967-12-2-3/IR 73711-130-1-3-1//IR 64,B3329,1,3,32,20130608,84,114,124,18,9.1,3146,,3041,3325,,,5,5,2,1,5,05-Oct,
40,B1036,2337253,IR08N158,IR 82804-81-1-3-2,IR02N444/IR 73439-11-1-3-1//IR 59682-132-1-1-2 (PSB RC 52),B3566,1,9,27,20130608,91,121,124,16,12,2886,,2465,2953,5,S,5,5,1,1,7,10-Oct,
79,B1037,2337187,IR08N159,IR 82445-9-3-2-2,DAEYABYEO/IR04N114,B3567,1,8,13,20130608,87,117,119,15,10.4,2531,,2677,2637,,,5,7,2,1,1,10-Oct,shb
432,B1322,2337030,IR08N164,IR 82503-21-2-3-3,IR04N101/IR01N200,B3568,1,7,64,20130608,93,123,136,17,12.3,2635,2,3009,2687,5,S,5,3,1,1,05-Mar,09-Oct,ok
426,B1323,2337025,IR08N165,IR 82503-69-2-3-2,IR04N101/IR01N200,B3330,1,8,63,20130608,89,119,115,17,11.4,2449,,2419,2523,,,7,3,0,1,5,10-Oct,"not so uniform, shb"
44,B1038,2336623,IR08N180,IR 82777-99-2-2-2,IR 72158-11-5-2-3/IR 73459-120-2-2-3//IRRI 123,B3569,1,9,23,20130608,89,119,117,17,12.1,2436,,2828,2490,9,S,5,9,0,1, 1/5,10-Oct,shb
374,B1324,2336574,IR08N185,IR 82786-114-2-3-3,IR 72967-12-2-3/IR01N142//IRRI 123,B3570,1,9,56,20130608,90,120,120,17,10.9,1852,,2563,1919,7,S,5,3,3,1,5,10-Oct,
317,B1039,2348520,IR08N210,IR 83325-66-2-1,IR 72875-94-3-3-2/IR02N463,B3332,1,1,14,20130608,81,111,129,17,11.1,2947,,2184,3046,9,,5,9,0,5,05-Mar,04-Oct,shb
205,A1040,2472115,IR09A102,IR 83821-95-3-2-3,IR 66/IR 72870-19-2-2-3,A3225,1,4,7,20130608,85,115,116,16,10.1,2779,,2739,2905,,,7,9,3,7,7,09-Oct,"BB, shb"
397,A1325,2472593,IR09A116,IR 83347-113-2-2-3-2,IR BB 60-1/NSIC RC 158,A3466,1,8,34,20130608,98,128,114,14,9.4,2771,,2366,2919,,,5,9,0,1,1,17-Oct,not so good
509,A1326,2472677,IR09A120,IR 83290-71-2-3-3-2,JANAKI/IR02N463,A3467,1,5,53,20130608,90,120,119,19,11.1,2095,,1666,2166,5,S,3,9,1,1,3,10-Oct,shb
310,A1041,2524932,IR09A128,IR 83851-74-3-2-2,IR 77776-B-8-1-2/IR 72102-4-159-1-3-3-3 (NSIC RC 112),A3228,1,1,21,20130608,79,109,128,21,10.9,2318,,1625,2402,9,,7,7,3,1,5,01-Oct,shb
58,A1042,2524949,IR09A130,IR 83850-14-3-2-3,IR 77080-B-34-3/IR 71606-1-1-4-2-3-1-2 (NSIC 110,A3229,1,9,9,20130608,85,115,98,16,10.1,1191,11,2817,1245,3,,7,9,4,1,7,27-Oct,Blast =9;poor
424,A1327,2524958,IR09A133,IR 83849-72-2-3-3,IR 77080-B-34-1-1/IR 74286-107-2-3,A3468,1,8,61,20130608,90,120,139,15,11.9,2137,,2285,2189,9,S,5,7,1,1,1,17-Oct,shb
85,A1043,2525083,IR09A136,IR 83683-63-3-1-2-1,IR01A135/IRRI 123//IR01A163,A3231,1,8,19,20130608,86,116,129,20,9.9,3006,,3233,3149,7,,3,9,4,1,7,07-Oct,
197,A1043,2525083,IR09A136,IR 83683-63-3-1-2-1,IR01A135/IRRI 123//IR01A163,A3231,2,5,2,20130608,88,118,129,20,11.6,3164,,2209,3252,5,,,,,1-3,7,10-Oct,"ok, bb, shb"
221,A1044,2465451,IR09A144,IR 83304-614-3-3-1-2,IR 65620-192-3-3-3-2/IR 77084-B-5-1-1,A3232,1,4,23,20130608,85,115,128,20,9.6,2737,,2403,2877,9,S,5,7,1,1,5,03-Oct,not so good
19,A1045,2548083,IR09A152,IR 84941-12-1-2,IR 84089-13/IR 72875-94-3-3-2,A3469,1,10,19,20130608,87,117,119,31,10.9,2289,,2550,2372,,,5,5,3,7,7,10-Oct,"BS,Bb, Shb"
120,A1045,2548083,IR09A152,IR 84941-12-1-2,IR 84089-13/IR 72875-94-3-3-2,A3469,2,7,13,20130608,85,115,121,17,9.8,2577,,2385,2703,,,,,,7,5,09-Oct,"not so uniform,bb,shb"
231,A1046,2465457,IR09A162,IR 83304-519-2-2-3-2,IR 65620-192-3-3-3-2/IR 77084-B-5-1-1,A3233,1,4,33,20130608,82,112,129,19,9.8,2787,5,2757,2923,,,3,3,3,1,5,07-Oct,rainfed type; spreading
12,A1047,2642504,IR09A181,IR 85140-78-3-1-2,IR 72860-74-1-2-1/IR 73720-36-3-3-1//IR 60,A3234,1,10,12,20130608,83,113,111,31,10.7,2580,,2580,2679,7,,5,5,4,1,3/5,08-Oct,few segregation
297,A1048,2642567,IR09A183,IR 84848-84-1-3-2,IRRI 123/IR 68144-2B-2-2-3-1-166,A3235,1,2,33,20130608,85,115,112,16,9.5,2595,,2680,2731,,,5,5,0,7,7,04-Oct,
279,A1049,2472088,IR09A220,IR 83832-90-3-2-3,IR 72903-121-2-1-2/IR 71606-1-1-4-2-3-1-2 (NSIC 110,A3236,1,2,15,20130608,86,116,132,22,10.3,2780,,2871,2900,5,,3,5,0,1,7,09-Oct,shb
524,A1328,2472101,IR09A224,IR 83832-26-2-1-2,IR 72903-121-2-1-2/IR 71606-1-1-4-2-3-1-2 (NSIC 110,A3470,1,5,38,20130608,94,124,119,13,10.4,2979,,2154,3104,7,S,3,5,0,1,1,14-Oct,
552,A1329,2472106,IR09A225,IR 83832-11-2-2-3,IR 72903-121-2-1-2/IR 71606-1-1-4-2-3-1-2 (NSIC 110,A3471,1,4,57,20130608,92,122,122,14,11,2692,,2215,2786,,,3,3,0,3,7,14-Oct,compact
43,A1050,2433533,IR09A228,IR 82572-28-3-1-1-2,PR 29232-B-17-2-1-1/IR 64,A3237,1,9,24,20130608,86,116,138,17,9.9,3016,,2790,3160,5,,5,5,1,1,7,03-Oct,
285,A1050,2433533,IR09A228,IR 82572-28-3-1-1-2,PR 29232-B-17-2-1-1/IR 64,A3237,2,2,21,20130608,84,114,120,17,10,3478,,3246,3640,7,,,,,1,5,30-Sep,"ok, spreading flags"
248,A1051,2433291,IR09A229,IR 82578-26-3-2-2-1,PR 32749-9-10-5/PSB RC 18 (IR 51672-62-2-1-1-2-3),A3472,1,3,17,20130608,97,127,126,18,10.8,1993,9,3182,2067,5,,7,9,0,1,7,17-Oct,
132,A1052,2450841,IR09A234,IR 83684-45-3-2-3,IR02A149/IRRI 123//IR01A163,A3473,1,7,1,20130608,88,118,130,17,10,3108,,2901,3253,,,5,7,0,1, 1/7,10-Oct,exposed panicle
141,A1053,2451117,IR09A235,IR 83730-19-3-1-3,IR 77429-38-69-B-6-1-1/NSIC RC 138//IR 55423-01 (NSIC RC 9),A3474,1,6,9,20130608,88,118,128,22,10.3,2841,,3163,2963,,,5,5,0,1,1,10-Oct,exposed panicle;droopy
582,F1330,2707514,IR09F169,IR 85086-SUB 33-3-2-1,IRRI 119/IR02A464,F3662,1,3,46,20130608,104,134,134,12,13.1,2201,,,2224,5,,5,3,1,1,5,25-Oct,very late
450,F1581,2853229,IR09F437,IR 94602-273-98,PSB RC 18 (IR 51672-62-2-1-1-2-3)2/IRRI 149,F3695,1,7,46,20130608,100,130,126,14,10.3,2222,,2191,2318,,,7,7,0,1,7,17-Oct,
478,F1581,2853229,IR09F437,IR 94602-273-98,PSB RC 18 (IR 51672-62-2-1-1-2-3)2/IRRI 149,F3695,2,6,49,20130608,100,130,125,16,9.4,2488,,2338,2621,,,,,,1,5,17-Oct,
309,B1054,2472283,IR09N126,IR 83842-50-1-3-3,IR01N111/IRRI 164,B3333,1,1,22,20130608,83,113,136,18,11.9,2840,,2599,2909,5,S,3,5,1,1,5,05-Oct,shb
203,B1055,2472288,IR09N127,IR 83840-90-3-2-1,IR01N107/IR01N203,B3334,1,4,5,20130608,84,114,126,19,11,2379,,2639,2462,9,,3,5,1,1,7,27-Sep,droopy
419,B1331,2472354,IR09N142,IR 83835-59-1-1-1,IR 73012-15-2-2-1/IR01N144,B3571,1,8,56,20130608,92,122,126,23,11.2,1977,,3194,2041,9,S,3,1,3,1,5,17-Oct,shb
604,B1332,2472584,IR09N190,IR 83650-59-2-5-2-2,DONGANBYEO/PSBRC 82//AREUMBYEO,B3572,1,2,43,20130608,90,120,122,15,13.6,3365,,,3381,,,3,1,3,1,1,17-Oct,
133,B1056,2465420,IR09N199,IR 84022-533-3-3-3,JANAKI/IR02N463//IRRI 123,B3335,1,6,1,20130608,85,115,134,16,9.5,3244,,2703,3414,7,,3,1,4,7,7,10-Oct,"bb, erect"
442,B1546,2472780,IR09N212,IR 83354-63-3-1-2-1,ODAEBYEO/IRRI 123,B3573,1,7,54,20130608,93,123,149,21,10.7,2988,,2095,3103,9,S,7,7,3,1,1,17-Oct,
617,B1546,2472780,IR09N212,IR 83354-63-3-1-2-1,ODAEBYEO/IRRI 123,B3573,2,2,56,20130608,94,124,147,14,11.6,2904,1,2927,2985,7,S,,,,1,1,17-Oct,
583,B1333,2524833,IR09N246,IR 83822-8-2-2-2,IR 68058-71-2-1/IR 71700-247-1-1-2,B3574,1,3,45,20130608,95,125,123,11,12.3,1666,,,1699,5,,5,1,3,1,1,24-Oct,
605,B1334,2524860,IR09N251,IR 84055-97-2-2-2,IRRI 143/IR04N114//IR BB 60-1,B3575,1,2,44,20130608,89,119,118,16,10.3,3194,5,3327,3331,,,3,3,3,1,3,14-Oct,
544,B1335,2525009,IR09N259,IR 83838-29-2-2-3,IR00A117/IR 73707-45-3-2-3,B3576,1,4,49,20130608,94,124,126,17,10.8,2157,,3190,2237,5,,3,3,4,1,7,14-Oct,shb
406,B1336,2525013,IR09N260,IR 83838-16-2-1-2,IR00A117/IR 73707-45-3-2-3,B3577,1,8,43,20130608,93,123,119,17,9.9,2590,,1942,2713,,,3,5,4,1,7,14-Oct,
579,B1337,2525022,IR09N262,IR 83838-8-2-2-2,IR00A117/IR 73707-45-3-2-3,B3578,1,3,49,20130608,94,124,113,15,9.5,2545,,,2678,,,3,9,4,1,5,14-Oct,
470,B1338,2525093,IR09N274,IR 83673-105-2-3-2-3,IR 72860-74-1-2-1/IR 72158-11-5-2-3//PSB RC 18 (IR 51672-62-2-1-1-2-3),B3579,1,6,41,20130608,97,127,116,17,10.1,2485,,2699,2598,,,3,7,1,1,7,17-Oct,shb
177,B1057,2471800,IR09N389,IR 84067-4-2-3-3,IR 71606-1-1-4-2-3-1-2 (NSIC 110/NSIC RC 158//IR 64,B3337,1,5,22,20130608,82,112,116,15,9.3,2806,,2985,2959,9,,7,3,6,1,7,03-Oct,ok
